Key,English,简体中文
biome.minecraft.snowy_beach,Snowy Beach,积雪的沙滩
biome.minecraft.snowy_plains,Snowy Plains,积雪的平原
biome.minecraft.snowy_slopes,Snowy Slopes,积雪的山坡
biome.minecraft.snowy_taiga,Snowy Taiga,积雪的针叶林
biome.minecraft.soul_sand_valley,Soul Sand Valley,灵魂沙峡谷
biome.minecraft.sparse_jungle,Sparse Jungle,稀疏的丛林
biome.minecraft.stony_peaks,Stony Peaks,裸岩山峰
biome.minecraft.stony_shore,Stony Shore,石岸
biome.minecraft.sunflower_plains,Sunflower Plains,向日葵平原
biome.minecraft.swamp,Swamp,沼泽
biome.minecraft.taiga,Taiga,针叶林
biome.minecraft.the_end,The End,末地
biome.minecraft.the_void,The Void,虚空
biome.minecraft.warm_ocean,Warm Ocean,暖水海洋
biome.minecraft.warped_forest,Warped Forest,诡异森林
biome.minecraft.windswept_forest,Windswept Forest,风袭森林
biome.minecraft.windswept_gravelly_hills,Windswept Gravelly Hills,风袭沙砾丘陵
biome.minecraft.windswept_hills,Windswept Hills,风袭丘陵
biome.minecraft.windswept_savanna,Windswept Savanna,风袭热带草原
biome.minecraft.wooded_badlands,Wooded Badlands,繁茂的恶地
block.minecraft.acacia_button,Acacia Button,金合欢木按钮
block.minecraft.acacia_door,Acacia Door,金合欢木门
block.minecraft.acacia_fence,Acacia Fence,金合欢木栅栏
block.minecraft.acacia_fence_gate,Acacia Fence Gate,金合欢木栅栏门
block.minecraft.acacia_leaves,Acacia Leaves,金合欢树叶
block.minecraft.acacia_log,Acacia Log,金合欢原木
block.minecraft.acacia_planks,Acacia Planks,金合欢木板
block.minecraft.acacia_pressure_plate,Acacia Pressure Plate,金合欢木压力板
block.minecraft.acacia_sapling,Acacia Sapling,金合欢树苗
block.minecraft.acacia_sign,Acacia Sign,金合欢木告示牌
block.minecraft.acacia_slab,Acacia Slab,金合欢木台阶
block.minecraft.acacia_stairs,Acacia Stairs,金合欢木楼梯
block.minecraft.acacia_trapdoor,Acacia Trapdoor,金合欢木活板门
block.minecraft.acacia_wall_sign,Acacia Wall Sign,墙上的金合欢木告示牌
block.minecraft.acacia_wood,Acacia Wood,金合欢木
block.minecraft.activator_rail,Activator Rail,激活铁轨
block.minecraft.air,Air,空气
block.minecraft.allium,Allium,绒球葱
block.minecraft.amethyst_block,Block of Amethyst,紫水晶块
block.minecraft.amethyst_cluster,Amethyst Cluster,紫水晶簇
block.minecraft.ancient_debris,Ancient Debris,远古残骸
block.minecraft.andesite,Andesite,安山岩
block.minecraft.andesite_slab,Andesite Slab,安山岩台阶
block.minecraft.andesite_stairs,Andesite Stairs,安山岩楼梯
block.minecraft.andesite_wall,Andesite Wall,安山岩墙
block.minecraft.anvil,Anvil,铁砧
block.minecraft.attached_melon_stem,Attached Melon Stem,结果的西瓜茎
block.minecraft.attached_pumpkin_stem,Attached Pumpkin Stem,结果的南瓜茎
block.minecraft.azalea,Azalea,杜鹃花丛
block.minecraft.azalea_leaves,Azalea Leaves,杜鹃树叶
block.minecraft.azure_bluet,Azure Bluet,蓝花美耳草
block.minecraft.bamboo,Bamboo,竹子
block.minecraft.bamboo_sapling,Bamboo Shoot,竹笋
block.minecraft.banner.base.black,Fully Black Field,黑底
block.minecraft.banner.base.blue,Fully Blue Field,蓝底
block.minecraft.banner.base.brown,Fully Brown Field,棕底
block.minecraft.banner.base.cyan,Fully Cyan Field,青底
block.minecraft.banner.base.gray,Fully Gray Field,灰底
block.minecraft.banner.base.green,Fully Green Field,绿底
block.minecraft.banner.base.light_blue,Fully Light Blue Field,淡蓝底
block.minecraft.banner.base.light_gray,Fully Light Gray Field,淡灰底
block.minecraft.banner.base.lime,Fully Lime Field,黄绿底
block.minecraft.banner.base.magenta,Fully Magenta Field,品红底
block.minecraft.banner.base.orange,Fully Orange Field,橙底
block.minecraft.banner.base.pink,Fully Pink Field,粉红底
block.minecraft.banner.base.purple,Fully Purple Field,紫底
block.minecraft.banner.base.red,Fully Red Field,红底
block.minecraft.banner.base.white,Fully White Field,白底
block.minecraft.banner.base.yellow,Fully Yellow Field,黄底
block.minecraft.banner.border.black,Black Bordure,黑色方框边
block.minecraft.banner.border.blue,Blue Bordure,蓝色方框边
block.minecraft.banner.border.brown,Brown Bordure,棕色方框边
block.minecraft.banner.border.cyan,Cyan Bordure,青色方框边
block.minecraft.banner.border.gray,Gray Bordure,灰色方框边
block.minecraft.banner.border.green,Green Bordure,绿色方框边
block.minecraft.banner.border.light_blue,Light Blue Bordure,淡蓝色方框边
block.minecraft.banner.border.light_gray,Light Gray Bordure,淡灰色方框边
block.minecraft.banner.border.lime,Lime Bordure,黄绿色方框边
block.minecraft.banner.border.magenta,Magenta Bordure,品红色方框边
block.minecraft.banner.border.orange,Orange Bordure,橙色方框边
block.minecraft.banner.border.pink,Pink Bordure,粉红色方框边
block.minecraft.banner.border.purple,Purple Bordure,紫色方框边
block.minecraft.banner.border.red,Red Bordure,红色方框边
block.minecraft.banner.border.white,White Bordure,白色方框边
block.minecraft.banner.border.yellow,Yellow Bordure,黄色方框边
block.minecraft.banner.bricks.black,Black Field Masoned,黑色砖纹
block.minecraft.banner.bricks.blue,Blue Field Masoned,蓝色砖纹
block.minecraft.banner.bricks.brown,Brown Field Masoned,棕色砖纹
block.minecraft.banner.bricks.cyan,Cyan Field Masoned,青色砖纹
block.minecraft.banner.bricks.gray,Gray Field Masoned,灰色砖纹
block.minecraft.banner.bricks.green,Green Field Masoned,绿色砖纹
block.minecraft.banner.bricks.light_blue,Light Blue Field Masoned,淡蓝色砖纹
block.minecraft.banner.bricks.light_gray,Light Gray Field Masoned,淡灰色砖纹
block.minecraft.banner.bricks.lime,Lime Field Masoned,黄绿色砖纹
block.minecraft.banner.bricks.magenta,Magenta Field Masoned,品红色砖纹
block.minecraft.banner.bricks.orange,Orange Field Masoned,橙色砖纹
block.minecraft.banner.bricks.pink,Pink Field Masoned,粉红色砖纹
block.minecraft.banner.bricks.purple,Purple Field Masoned,紫色砖纹
block.minecraft.banner.bricks.red,Red Field Masoned,红色砖纹
block.minecraft.banner.bricks.white,White Field Masoned,白色砖纹
block.minecraft.banner.bricks.yellow,Yellow Field Masoned,黄色砖纹
block.minecraft.banner.circle.black,Black Roundel,黑色圆形
block.minecraft.banner.circle.blue,Blue Roundel,蓝色圆形
block.minecraft.banner.circle.brown,Brown Roundel,棕色圆形
block.minecraft.banner.circle.cyan,Cyan Roundel,青色圆形
block.minecraft.banner.circle.gray,Gray Roundel,灰色圆形
block.minecraft.banner.circle.green,Green Roundel,绿色圆形
block.minecraft.banner.circle.light_blue,Light Blue Roundel,淡蓝色圆形
block.minecraft.banner.circle.light_gray,Light Gray Roundel,淡灰色圆形
block.minecraft.banner.circle.lime,Lime Roundel,黄绿色圆形
block.minecraft.banner.circle.magenta,Magenta Roundel,品红色圆形
block.minecraft.banner.circle.orange,Orange Roundel,橙色圆形
block.minecraft.banner.circle.pink,Pink Roundel,粉红色圆形
block.minecraft.banner.circle.purple,Purple Roundel,紫色圆形
block.minecraft.banner.circle.red,Red Roundel,红色圆形
block.minecraft.banner.circle.white,White Roundel,白色圆形
block.minecraft.banner.circle.yellow,Yellow Roundel,黄色圆形
block.minecraft.banner.creeper.black,Black Creeper Charge,黑色苦力怕盾徽
block.minecraft.banner.creeper.blue,Blue Creeper Charge,蓝色苦力怕盾徽
block.minecraft.banner.creeper.brown,Brown Creeper Charge,棕色苦力怕盾徽
block.minecraft.banner.creeper.cyan,Cyan Creeper Charge,青色苦力怕盾徽
block.minecraft.banner.creeper.gray,Gray Creeper Charge,灰色苦力怕盾徽
block.minecraft.banner.creeper.green,Green Creeper Charge,绿色苦力怕盾徽
block.minecraft.banner.creeper.light_blue,Light Blue Creeper Charge,淡蓝色苦力怕盾徽
block.minecraft.banner.creeper.light_gray,Light Gray Creeper Charge,淡灰色苦力怕盾徽
block.minecraft.banner.creeper.lime,Lime Creeper Charge,黄绿色苦力怕盾徽
block.minecraft.banner.creeper.magenta,Magenta Creeper Charge,品红色苦力怕盾徽
block.minecraft.banner.creeper.orange,Orange Creeper Charge,橙色苦力怕盾徽
block.minecraft.banner.creeper.pink,Pink Creeper Charge,粉红色苦力怕盾徽
block.minecraft.banner.creeper.purple,Purple Creeper Charge,紫色苦力怕盾徽
block.minecraft.banner.creeper.red,Red Creeper Charge,红色苦力怕盾徽
block.minecraft.banner.creeper.white,White Creeper Charge,白色苦力怕盾徽
block.minecraft.banner.creeper.yellow,Yellow Creeper Charge,黄色苦力怕盾徽
block.minecraft.banner.cross.black,Black Saltire,黑斜十字
block.minecraft.banner.cross.blue,Blue Saltire,蓝斜十字
block.minecraft.banner.cross.brown,Brown Saltire,棕斜十字
block.minecraft.banner.cross.cyan,Cyan Saltire,青斜十字
block.minecraft.banner.cross.gray,Gray Saltire,灰斜十字
block.minecraft.banner.cross.green,Green Saltire,绿斜十字
block.minecraft.banner.cross.light_blue,Light Blue Saltire,淡蓝斜十字
block.minecraft.banner.cross.light_gray,Light Gray Saltire,淡灰斜十字
block.minecraft.banner.cross.lime,Lime Saltire,黄绿斜十字
block.minecraft.banner.cross.magenta,Magenta Saltire,品红斜十字
block.minecraft.banner.cross.orange,Orange Saltire,橙斜十字
block.minecraft.banner.cross.pink,Pink Saltire,粉红斜十字
block.minecraft.banner.cross.purple,Purple Saltire,紫斜十字
block.minecraft.banner.cross.red,Red Saltire,红斜十字
block.minecraft.banner.cross.white,White Saltire,白斜十字
block.minecraft.banner.cross.yellow,Yellow Saltire,黄斜十字
block.minecraft.banner.curly_border.black,Black Bordure Indented,黑色波纹边
block.minecraft.banner.curly_border.blue,Blue Bordure Indented,蓝色波纹边
block.minecraft.banner.curly_border.brown,Brown Bordure Indented,棕色波纹边
block.minecraft.banner.curly_border.cyan,Cyan Bordure Indented,青色波纹边
block.minecraft.banner.curly_border.gray,Gray Bordure Indented,灰色波纹边
block.minecraft.banner.curly_border.green,Green Bordure Indented,绿色波纹边
block.minecraft.banner.curly_border.light_blue,Light Blue Bordure Indented,淡蓝色波纹边
block.minecraft.banner.curly_border.light_gray,Light Gray Bordure Indented,淡灰色波纹边
block.minecraft.banner.curly_border.lime,Lime Bordure Indented,黄绿色波纹边
block.minecraft.banner.curly_border.magenta,Magenta Bordure Indented,品红色波纹边
block.minecraft.banner.curly_border.orange,Orange Bordure Indented,橙色波纹边
block.minecraft.banner.curly_border.pink,Pink Bordure Indented,粉红色波纹边
block.minecraft.banner.curly_border.purple,Purple Bordure Indented,紫色波纹边
block.minecraft.banner.curly_border.red,Red Bordure Indented,红色波纹边
block.minecraft.banner.curly_border.white,White Bordure Indented,白色波纹边
block.minecraft.banner.curly_border.yellow,Yellow Bordure Indented,黄色波纹边
block.minecraft.banner.diagonal_left.black,Black Per Bend Sinister,黑色右上三角
block.minecraft.banner.diagonal_left.blue,Blue Per Bend Sinister,蓝色右上三角
block.minecraft.banner.diagonal_left.brown,Brown Per Bend Sinister,棕色右上三角
block.minecraft.banner.diagonal_left.cyan,Cyan Per Bend Sinister,青色右上三角
block.minecraft.banner.diagonal_left.gray,Gray Per Bend Sinister,灰色右上三角
block.minecraft.banner.diagonal_left.green,Green Per Bend Sinister,绿色右上三角
block.minecraft.banner.diagonal_left.light_blue,Light Blue Per Bend Sinister,淡蓝色右上三角
block.minecraft.banner.diagonal_left.light_gray,Light Gray Per Bend Sinister,淡灰色右上三角
block.minecraft.banner.diagonal_left.lime,Lime Per Bend Sinister,黄绿色右上三角
